Genome	Antibiotic	S	R	I
Escherichia coli	amikacin	16	64	32
Escherichia coli	amoxicillin/clavulanic acid	8	32	16
Escherichia coli	ampicillin	8	32	16
Escherichia coli	ampicillin/sulbactam	8	32	16
Escherichia coli	azithromycin	16	32	-
Escherichia coli	aztreonam	4	16	8
Escherichia coli	cefazolin	16	32	-
Escherichia coli	cefepime	8	16	-
Escherichia coli	cefotaxime	1	4	2
Escherichia coli	cefoxitin	8	32	16
Escherichia coli	ceftazidime	4	16	8
Escherichia coli	ceftriaxone	1	4	2
Escherichia coli	chloramphenicol	8	32	16
Escherichia coli	ciprofloxacin	0.0625	1	0.125,0.25,0.5
Escherichia coli	doripenem	1	4	2
Escherichia coli	ertapenem	0.5	2	1
Escherichia coli	gentamicin	4	16	8
Escherichia coli	imipenem	1	4	2
Escherichia coli	levofloxacin	0.125	1	0.25,0.5
Escherichia coli	meropenem	1	4	2
Escherichia coli	nalidixic acid	16	32	-
Escherichia coli	nitrofurantoin	64	256	128
Escherichia coli	piperacillin	16	128	32,64
Escherichia coli	piperacillin/tazobactam	16	128	32,64
Escherichia coli	tetracycline	16	8	4
Escherichia coli	tobramycin	4	16	8
Escherichia coli	trimethoprim/sulfamethoxazole	2	4	-
Klebsiella pneumoniae	Amikacin	8	32	16
Klebsiella pneumoniae	Ampicillin	8	16	-
Klebsiella pneumoniae	Ampicillin/Sulbactam	8	16	-
Klebsiella pneumoniae	Aztreonam	1	8	2,4
Klebsiella pneumoniae	Cefepime	1	8	2,4
Klebsiella pneumoniae	Cefotaxime	1	4	2
Klebsiella pneumoniae	Ceftazidime	1	8	2,4
Klebsiella pneumoniae	Ceftriaxone	1	4	2		
Klebsiella pneumoniae	Cefuroxime sodium	8	16	-		
Klebsiella pneumoniae	Ciprofloxacin	0.25	1	0.5
Klebsiella pneumoniae	Ertapenem	0.5	2	1
Klebsiella pneumoniae	Fosfomycin	32	64	-
Klebsiella pneumoniae	Gentamicin	2	8	4
Klebsiella pneumoniae	Imipenem	2	16	4,8
Klebsiella pneumoniae	Levofloxacin	0.5	2	1
Klebsiella pneumoniae	Meropenem	2	16	4,8
Klebsiella pneumoniae	Piperacillin/Tazobactam	8	32	16
Klebsiella pneumoniae	Ticarcillin/Clavulanate	8	32	16
Klebsiella pneumoniae	Tobramycin	2	8	4
Klebsiella pneumoniae	Trimethoprim/Sulfamethoxazole	2	8	4
Neisseria gonorrhoeae	azithromycin	0.25	1	0.5
Neisseria gonorrhoeae	cefixime	0.125	0.25	-
Neisseria gonorrhoeae	ceftriaxone	0.125	0.25	-
Neisseria gonorrhoeae	ciprofloxacin	0.03125	0.125	0.0625
Neisseria gonorrhoeae	spectinomycin	64	128	-
Neisseria gonorrhoeae	tetracycline	0.5	2	1
Staphylococcus aureus	amikacin	8	32	16
Staphylococcus aureus	azithromycin	1	4	2
Staphylococcus aureus	chloramphenicol	8	16	-
Staphylococcus aureus	ciprofloxacin	1	2	-
Staphylococcus aureus	clindamycin	0.25	1	0.5
Staphylococcus aureus	daptomycin	1	2	-
Staphylococcus aureus	doxycycline	1	4	2
Staphylococcus aureus	erythromycin	1	4	2
Staphylococcus aureus	gentamicin	1	2	-
Staphylococcus aureus	levofloxacin	1	2	-
Staphylococcus aureus	linezolid	4	8	-
Staphylococcus aureus	minocycline	0.5	2	1
Staphylococcus aureus	moxifloxacin	0.25	0.5	-
Staphylococcus aureus	ofloxacin	1	2	-
Staphylococcus aureus	quinupristin-dalfopristin	1	4	2
Staphylococcus aureus	rifampin	0.06125	1	0.125,0.25,0.5
Staphylococcus aureus	tetracycline	1	4	2
Staphylococcus aureus	tigecycline	0.5	1	-
Staphylococcus aureus	tobramycin	1	2	-
Staphylococcus aureus	trimethoprim	2	8	4
Staphylococcus aureus	trimethoprim/sulfamethoxazole	2	8	4
Staphylococcus aureus	vancomycin	2	4	-
Escherichia coli	amikacin	16	64	32	
Escherichia coli	amoxicillin/clavulanic acid	8	32	16	
Escherichia coli	ampicillin	8	32	16	
Escherichia coli	ampicillin/sulbactam	8	32	16	
Escherichia coli	azithromycin	16	32	-	
Escherichia coli	aztreonam	4	16	8	
Escherichia coli	cefazolin	16	32	-	
Escherichia coli	cefepime	8	16	-	2 = S for 1g/12hrs, 4-8 otherwise
Escherichia coli	cefotaxime	1	4	2	
Escherichia coli	cefoxitin	8	32	16	
Escherichia coli	ceftazidime	4	16	8	
Escherichia coli	ceftriaxone	1	4	2	
Escherichia coli	chloramphenicol	8	32	16	
Escherichia coli	ciprofloxacin	0.0625	1	0.125,0.25,0.5	
Escherichia coli	doripenem	1	4	2	
Escherichia coli	ertapenem	0.5	2	1	
Escherichia coli	gentamicin	4	16	8	
Escherichia coli	imipenem	1	4	2	
Escherichia coli	levofloxacin	0.125	1	0.25,0.5	
Escherichia coli	meropenem	1	4	2	
Escherichia coli	nalidixic acid	16	32	-	
Escherichia coli	nitrofurantoin	64	256	128	
Escherichia coli	piperacillin	16	128	32,64	
Escherichia coli	piperacillin/tazobactam	16	128	32,64	
Escherichia coli	tetracycline	16	8	4	
Escherichia coli	tobramycin	4	16	8	
Escherichia coli	trimethoprim/sulfamethoxazole	2	4	-	
Klebsiella pneumoniae	Amikacin	8	32	16	
Klebsiella pneumoniae	Ampicillin	8	16	-	
Klebsiella pneumoniae	Ampicillin/Sulbactam	8	16	-	
